model,domain,n,auroc,ci_lo,ci_hi,ci_w
Gemini 3.1 FLite,Human.,223,0.6862,0.5068,0.8657,0.359
Gemini 3.1 FLite,Science,223,0.5491,0.469,0.639,0.17
Gemini 3.1 FLite,Social,230,0.6363,0.5456,0.7321,0.1865
Gemini 3.1 Pro,Applied,227,0.8411,0.7039,0.9469,0.243
Gemini 3.1 Pro,Factual,215,0.7729,0.6306,0.907,0.2764
Gemini 3.1 Pro,Formal,230,0.6455,0.4693,0.9717,0.5024
Gemini 3.1 Pro,Human.,228,0.7645,0.5466,1.0,0.4534
Gemini 3.1 Pro,Science,221,0.6402,0.4653,0.8138,0.3485
Gemini 3.1 Pro,Social,225,0.7757,0.6559,0.8765,0.2206
Gemma 3 12B,Applied,242,0.5335,0.4667,0.6055,0.1388
Gemma 3 12B,Factual,237,0.6135,0.5302,0.6987,0.1684
Gemma 3 12B,Formal,234,0.5522,0.4982,0.6068,0.1086
Gemma 3 12B,Human.,243,0.5218,0.4101,0.6313,0.2212
Gemma 3 12B,Science,244,0.4999,0.4265,0.569,0.1426
Gemma 3 12B,Social,247,0.4639,0.39,0.5273,0.1374
Gemma 3 1B,Applied,249,0.4951,0.4663,0.5251,0.0587
Gemma 3 1B,Factual,250,0.501,0.471,0.5304,0.0594
Gemma 3 1B,Formal,250,0.5035,0.4753,0.5262,0.0509
Gemma 3 1B,Human.,250,0.4997,0.4789,0.5222,0.0433
Gemma 3 1B,Science,250,0.5016,0.4797,0.5221,0.0424
Gemma 3 1B,Social,250,0.4902,0.4627,0.5118,0.0492
Gemma 3 27B,Applied,250,0.5972,0.5349,0.6577,0.1227
Gemma 3 27B,Factual,250,0.6743,0.5972,0.748,0.1508
Gemma 3 27B,Formal,250,0.5689,0.4994,0.6364,0.1369
Gemma 3 27B,Human.,250,0.5896,0.5056,0.6803,0.1747
Gemma 3 27B,Science,250,0.598,0.5462,0.6512,0.1051
Gemma 3 27B,Social,250,0.5276,0.4685,0.5805,0.1119
Gemma 3 4B,Applied,244,0.5357,0.4822,0.5872,0.1051
Gemma 3 4B,Factual,241,0.5637,0.4888,0.6371,0.1483
Gemma 3 4B,Formal,239,0.5415,0.477,0.6067,0.1297
Gemma 3 4B,Human.,240,0.5061,0.4453,0.5657,0.1204
Gemma 3 4B,Science,241,0.5656,0.5066,0.6282,0.1216
Gemma 3 4B,Social,240,0.4885,0.4328,0.5442,0.1114
Gemma 4 31B,Applied,250,0.869,0.7815,0.9409,0.1594
Gemma 4 31B,Factual,250,0.6634,0.5265,0.7898,0.2633
Gemma 4 31B,Formal,250,0.8124,0.6464,0.9822,0.3358
Gemma 4 31B,Human.,250,0.7372,0.58,0.8851,0.3051
Gemma 4 31B,Science,250,0.7097,0.5441,0.8719,0.3278
Gemma 4 31B,Social,250,0.8056,0.7074,0.8955,0.1881
Haiku 4.5,Applied,250,0.84,0.7636,0.907,0.1434
Haiku 4.5,Factual,250,0.7202,0.6038,0.8238,0.22
Haiku 4.5,Formal,250,0.8046,0.6612,0.9272,0.266
Haiku 4.5,Human.,250,0.7933,0.6539,0.9042,0.2503
Haiku 4.5,Science,250,0.7058,0.5549,0.8371,0.2822
Haiku 4.5,Social,250,0.7275,0.6397,0.8224,0.1827
Opus 4.1,Applied,250,0.8375,0.7845,0.8932,0.1087
Opus 4.1,Factual,250,0.6147,0.4522,0.7798,0.3275
Opus 4.1,Formal,250,0.6914,0.5197,0.8354,0.3156
Opus 4.1,Human.,250,0.7108,0.4732,0.9214,0.4482
Opus 4.1,Science,250,0.6358,0.5298,0.7554,0.2257
Opus 4.1,Social,250,0.7809,0.6761,0.8703,0.1942
Opus 4.5,Applied,250,0.8208,0.735,0.8969,0.1619
Opus 4.5,Factual,250,0.7954,0.6692,0.9106,0.2413
Opus 4.5,Formal,250,0.7867,0.5645,0.9536,0.3891
Opus 4.5,Human.,250,0.6785,0.3927,0.9191,0.5263
Opus 4.5,Science,250,0.7645,0.633,0.8943,0.2613
Opus 4.5,Social,250,0.8667,0.7608,0.9395,0.1787
Opus 4.6,Applied,250,0.8471,0.7608,0.918,0.1572
Opus 4.6,Factual,250,0.8183,0.6796,0.9358,0.2562
Opus 4.6,Formal,250,0.7428,0.4558,0.976,0.5202
Opus 4.6,Human.,250,0.704,0.419,0.9394,0.5204
Opus 4.6,Science,250,0.7579,0.5952,0.8998,0.3046
Opus 4.6,Social,250,0.8732,0.8026,0.9372,0.1346
Opus 4.7,Applied,250,0.8525,0.7783,0.9237,0.1454
Opus 4.7,Factual,249,0.7257,0.5808,0.8524,0.2716
Opus 4.7,Formal,250,0.7799,0.5817,0.9408,0.3592
Opus 4.7,Human.,250,0.6919,0.3531,0.9587,0.6056
Opus 4.7,Science,250,0.8165,0.6666,0.935,0.2684
Opus 4.7,Social,250,0.8245,0.7361,0.8983,0.1622
Qwen 235B,Applied,250,0.6436,0.5791,0.711,0.1319
Qwen 235B,Factual,250,0.6222,0.5212,0.7224,0.2012
Qwen 235B,Formal,250,0.5668,0.4764,0.6574,0.1811
Qwen 235B,Human.,250,0.7109,0.5993,0.8246,0.2253
Qwen 235B,Science,250,0.6372,0.5692,0.6911,0.1219
Qwen 235B,Social,250,0.65,0.5529,0.7518,0.1989
Qwen 80B Inst,Applied,250,0.6475,0.5694,0.7267,0.1573
Qwen 80B Inst,Factual,250,0.6783,0.5781,0.7776,0.1995
Qwen 80B Inst,Formal,250,0.5847,0.5174,0.6635,0.1461
Qwen 80B Inst,Human.,250,0.7159,0.5533,0.8533,0.3
Qwen 80B Inst,Science,250,0.5816,0.4831,0.6702,0.1872
