short,dom,n,errors,acc,auroc_recomp,auroc,ci_lo,ci_hi,ci_w
Gemini 2.0 Flash,Human.,250,13,0.948,0.6629341123012009,0.6629,0.4944,0.8081,0.3138
Gemini 2.0 Flash,Science,250,30,0.88,0.6056818181818182,0.6057,0.5164,0.7036,0.1872
Gemini 2.0 Flash,Social,250,41,0.836,0.5030925428871513,0.5031,0.4262,0.5824,0.1562
Gemini 2.5 Flash,Applied,228,29,0.8728070175438597,0.8076589845780627,0.8077,0.726,0.8834,0.1574
Gemini 2.5 Flash,Factual,219,20,0.908675799086758,0.765326633165829,0.7653,0.6346,0.8852,0.2506
Gemini 2.5 Flash,Formal,230,19,0.9173913043478261,0.6370666001496632,0.6371,0.5392,0.7554,0.2162
Gemini 2.5 Flash,Human.,231,12,0.948051948051948,0.6444063926940639,0.6444,0.4725,0.8133,0.3408
Gemini 2.5 Flash,Science,225,16,0.9288888888888889,0.6638755980861244,0.6639,0.5303,0.7972,0.2669
Gemini 2.5 Flash,Social,228,32,0.8596491228070176,0.7478475765306123,0.7478,0.6522,0.8428,0.1905
Gemini 2.5 Pro,Applied,165,17,0.896969696969697,0.8887122416534182,0.8887,0.8022,0.9602,0.1579
Gemini 2.5 Pro,Factual,172,11,0.936046511627907,0.6194240542066629,0.6194,0.4818,0.7784,0.2966
Gemini 2.5 Pro,Formal,163,6,0.9631901840490797,0.5727176220806793,0.5727,0.478,0.7781,0.3001
Gemini 2.5 Pro,Human.,160,6,0.9625,0.6233766233766234,0.6234,0.4462,0.8406,0.3944
Gemini 2.5 Pro,Science,171,7,0.9590643274853801,0.4847560975609756,0.4848,0.4695,0.4969,0.0274
Gemini 2.5 Pro,Social,150,15,0.9,0.754074074074074,0.7541,0.6317,0.8839,0.2522
Gemini 3 Flash,Applied,250,13,0.948,0.8000649139889646,0.8001,0.7107,0.8843,0.1736
Gemini 3 Flash,Factual,250,13,0.948,0.673482635507952,0.6735,0.5115,0.8257,0.3142
Gemini 3 Flash,Formal,250,9,0.964,0.6814200092208391,0.6814,0.5095,0.8633,0.3538
Gemini 3 Flash,Human.,250,9,0.964,0.6622867680958968,0.6623,0.4897,0.8283,0.3385
Gemini 3 Flash,Science,250,12,0.952,0.6901260504201681,0.6901,0.5294,0.8652,0.3357
Gemini 3 Flash,Social,250,17,0.932,0.7936127240595808,0.7936,0.6897,0.8814,0.1917
Gemini 3.1 FLite,Applied,232,29,0.875,0.8289451333446577,0.8289,0.7452,0.8988,0.1536
Gemini 3.1 FLite,Factual,233,18,0.9227467811158798,0.7520671834625323,0.7521,0.6349,0.8576,0.2227
Gemini 3.1 FLite,Formal,227,31,0.8634361233480177,0.5660796576695194,0.5661,0.5041,0.6408,0.1368
Gemini 3.1 FLite,Human.,223,10,0.9551569506726457,0.686150234741784,0.6862,0.5068,0.8657,0.359
Gemini 3.1 FLite,Science,223,19,0.9147982062780269,0.5491486068111455,0.5491,0.469,0.639,0.17
Gemini 3.1 FLite,Social,230,30,0.8695652173913043,0.6363333333333333,0.6363,0.5456,0.7321,0.1865
Gemini 3.1 Pro,Applied,227,13,0.9427312775330396,0.8411214953271028,0.8411,0.7039,0.9469,0.243
Gemini 3.1 Pro,Factual,215,14,0.9348837209302325,0.7729211087420043,0.7729,0.6306,0.907,0.2764
Gemini 3.1 Pro,Formal,230,6,0.9739130434782609,0.6454613095238095,0.6455,0.4693,0.9717,0.5024
Gemini 3.1 Pro,Human.,228,8,0.9649122807017544,0.7644886363636364,0.7645,0.5466,1.0,0.4534
Gemini 3.1 Pro,Science,221,9,0.9592760180995475,0.6401991614255765,0.6402,0.4653,0.8138,0.3485
Gemini 3.1 Pro,Social,225,19,0.9155555555555556,0.7756770567194686,0.7757,0.6559,0.8765,0.2206
Gemma 3 12B,Applied,242,77,0.6818181818181818,0.5334907516725698,0.5335,0.4667,0.6055,0.1388
Gemma 3 12B,Factual,237,47,0.8016877637130801,0.6134938409854422,0.6135,0.5302,0.6987,0.1684
Gemma 3 12B,Formal,234,100,0.5726495726495726,0.5522388059701493,0.5522,0.4982,0.6068,0.1086
Gemma 3 12B,Human.,243,29,0.8806584362139918,0.5217531421205286,0.5218,0.4101,0.6313,0.2212
Gemma 3 12B,Science,244,66,0.7295081967213115,0.49987231869254334,0.4999,0.4265,0.569,0.1426
Gemma 3 12B,Social,247,71,0.7125506072874493,0.463868437900128,0.4639,0.39,0.5273,0.1374
Gemma 3 1B,Applied,249,163,0.3453815261044177,0.4950777571693537,0.4951,0.4663,0.5251,0.0587
Gemma 3 1B,Factual,250,124,0.504,0.5009920634920635,0.501,0.471,0.5304,0.0594
Gemma 3 1B,Formal,250,185,0.26,0.5034511434511434,0.5035,0.4753,0.5262,0.0509
Gemma 3 1B,Human.,250,112,0.552,0.4997412008281573,0.4997,0.4789,0.5222,0.0433
Gemma 3 1B,Science,250,172,0.312,0.5015652951699463,0.5016,0.4797,0.5221,0.0424
Gemma 3 1B,Social,250,161,0.356,0.49019471002861337,0.4902,0.4627,0.5118,0.0492
Gemma 3 27B,Applied,250,69,0.724,0.5971655056449675,0.5972,0.5349,0.6577,0.1227
Gemma 3 27B,Factual,250,37,0.852,0.6742799137165334,0.6743,0.5972,0.748,0.1508
Gemma 3 27B,Formal,250,76,0.696,0.5689277071990321,0.5689,0.4994,0.6364,0.1369
Gemma 3 27B,Human.,250,25,0.9,0.5896,0.5896,0.5056,0.6803,0.1747
Gemma 3 27B,Science,250,63,0.748,0.5979543332484508,0.598,0.5462,0.6512,0.1051
